진료년도,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2018,서울,도봉구,남,30~39세,0,0,0
2018,서울,도봉구,남,40~49세,0,0,0
2018,서울,도봉구,남,50~59세,16,532,41061320
2018,서울,도봉구,남,60~69세,111,2689,193430150
2018,서울,도봉구,남,70~79세,444,7411,561401490
2018,서울,도봉구,남,80~89세,489,9468,715922210
2018,서울,도봉구,남,90~99세,111,1812,131331930
2018,서울,도봉구,남,100세 이상,0,0,0
2018,서울,도봉구,여,0~9세,0,0,0
2018,서울,도봉구,여,10~19세,0,0,0
2018,서울,도봉구,여,20~29세,0,0,0
2018,서울,도봉구,여,30~39세,0,0,0
2018,서울,도봉구,여,40~49세,0,0,0
2018,서울,도봉구,여,50~59세,22,464,33930640
2018,서울,도봉구,여,60~69세,117,2543,206351600
2018,서울,도봉구,여,70~79세,684,10534,764521660
2018,서울,도봉구,여,80~89세,1373,30975,2298627620
2018,서울,도봉구,여,90~99세,438,15103,1106740420
2018,서울,도봉구,여,100세 이상,12,106,6068410
2018,서울,동대문구,남,0~9세,0,0,0
2018,서울,동대문구,남,10~19세,0,0,0
2018,서울,동대문구,남,20~29세,0,0,0
2018,서울,동대문구,남,30~39세,0,0,0
2018,서울,동대문구,남,40~49세,12,34,4003450
2018,서울,동대문구,남,50~59세,48,1885,168529730
2018,서울,동대문구,남,60~69세,175,3608,327357620
2018,서울,동대문구,남,70~79세,501,7660,730556650
2018,서울,동대문구,남,80~89세,514,8494,757389090
2018,서울,동대문구,남,90~99세,71,1391,111262160
2018,서울,동대문구,남,100세 이상,0,0,0
2018,서울,동대문구,여,0~9세,0,0,0
2018,서울,동대문구,여,10~19세,0,0,0
2018,서울,동대문구,여,20~29세,0,0,0
2018,서울,동대문구,여,30~39세,0,0,0
2018,서울,동대문구,여,40~49세,0,0,0
2018,서울,동대문구,여,50~59세,33,158,11382140
2018,서울,동대문구,여,60~69세,214,2693,242674920
2018,서울,동대문구,여,70~79세,915,15554,1413090230
2018,서울,동대문구,여,80~89세,1276,31298,2612868000
2018,서울,동대문구,여,90~99세,343,10558,800807330
2018,서울,동대문구,여,100세 이상,10,383,29511190
2018,서울,동작구,남,0~9세,0,0,0
2018,서울,동작구,남,10~19세,0,0,0
2018,서울,동작구,남,20~29세,0,0,0
2018,서울,동작구,남,30~39세,0,0,0
2018,서울,동작구,남,40~49세,0,0,0
2018,서울,동작구,남,50~59세,25,106,5565690
2018,서울,동작구,남,60~69세,103,670,61277680
2018,서울,동작구,남,70~79세,510,3033,290310200
2018,서울,동작구,남,80~89세,496,4551,377828990
2018,서울,동작구,남,90~99세,56,702,57138340
2018,서울,동작구,남,100세 이상,0,0,0
2018,서울,동작구,여,0~9세,0,0,0
2018,서울,동작구,여,10~19세,0,0,0
2018,서울,동작구,여,20~29세,0,0,0
2018,서울,동작구,여,30~39세,0,0,0
2018,서울,동작구,여,40~49세,0,0,0
2018,서울,동작구,여,50~59세,32,166,17445070
2018,서울,동작구,여,60~69세,178,914,78600080
2018,서울,동작구,여,70~79세,888,5570,494711510
2018,서울,동작구,여,80~89세,1270,16895,1338510270
2018,서울,동작구,여,90~99세,256,5329,404585620
2018,서울,동작구,여,100세 이상,0,0,0
2018,서울,마포구,남,0~9세,0,0,0
2018,서울,마포구,남,10~19세,0,0,0
2018,서울,마포구,남,20~29세,0,0,0
2018,서울,마포구,남,30~39세,0,0,0
2018,서울,마포구,남,40~49세,0,0,0
2018,서울,마포구,남,50~59세,0,0,0
2018,서울,마포구,남,60~69세,18,81,3508460
2018,서울,마포구,남,70~79세,106,1485,84075080
2018,서울,마포구,남,80~89세,109,1751,101173150
