년도,시도,시군구,성별,환자수,입내원일수,요양급여비용
2018, 인천 , 인천서구 , 여 ,3634,105086,7658083870
2018, 인천 , 인천남동구 , 남 ,1281,50298,3720546800
2018, 인천 , 인천남동구 , 여 ,3063,131620,9541493790
2018, 인천 , 인천연수구 , 남 ,422,15820,1228092810
2018, 인천 , 인천연수구 , 여 ,1280,39435,2875223550
2018, 인천 , 인천계양구 , 남 ,912,31156,2263732010
2018, 인천 , 인천계양구 , 여 ,2521,96360,6946624880
2018, 인천 , 인천강화군 , 남 ,311,8950,622844150
2018, 인천 , 인천강화군 , 여 ,859,20468,1389225430
2018, 인천 , 인천옹진군 , 남 ,0,0,0
2018, 인천 , 인천옹진군 , 여 ,23,57,3916710
2018, 대구 , 대구남구 , 남 ,1147,28504,2122321980
2018, 대구 , 대구남구 , 여 ,2922,103730,7601405340
2018, 대구 , 대구동구 , 남 ,1436,24279,1621290920
2018, 대구 , 대구동구 , 여 ,3635,101041,6902400370
2018, 대구 , 대구북구 , 남 ,1266,31297,2315079770
2018, 대구 , 대구북구 , 여 ,3435,99861,7189473700
2018, 대구 , 대구서구 , 남 ,709,31631,2268041780
2018, 대구 , 대구서구 , 여 ,2022,108241,7729994370
2018, 대구 , 대구수성구 , 남 ,966,35267,2632026500
2018, 대구 , 대구수성구 , 여 ,2617,130451,9814031150
2018, 대구 , 대구중구 , 남 ,1063,8120,626870320
2018, 대구 , 대구중구 , 여 ,2234,27798,2058219520
2018, 대구 , 대구달서구 , 남 ,1828,42701,3010763580
2018, 대구 , 대구달서구 , 여 ,4072,165024,11784026710
2018, 대구 , 대구달성군 , 남 ,368,30031,2174946130
2018, 대구 , 대구달성군 , 여 ,1131,100110,7285539720
2018, 광주 , 광주동구 , 남 ,1254,52347,4052917880
2018, 광주 , 광주동구 , 여 ,2775,204686,15471056050
2018, 광주 , 광주북구 , 남 ,2021,129026,9679245120
2018, 광주 , 광주북구 , 여 ,5491,452180,33871391160
2018, 광주 , 광주서구 , 남 ,669,42174,3258159530
2018, 광주 , 광주서구 , 여 ,1865,189285,14332582120
2018, 광주 , 광주광산구 , 남 ,2011,123926,9153868160
2018, 광주 , 광주광산구 , 여 ,4407,454442,33725818800
2018, 광주 , 광주남구 , 남 ,800,61387,4551731570
2018, 광주 , 광주남구 , 여 ,2273,259858,19416309690
2018, 대전 , 대전유성구 , 남 ,817,37900,2824815770
2018, 대전 , 대전유성구 , 여 ,2243,123453,9192147700
2018, 대전 , 대전대덕구 , 남 ,1074,12436,839709920
2018, 대전 , 대전대덕구 , 여 ,1386,38126,2628442080
2018, 대전 , 대전서구 , 남 ,1424,39195,2896352240
2018, 대전 , 대전서구 , 여 ,4093,178782,12879848090
2018, 대전 , 대전동구 , 남 ,760,47056,3429434280
2018, 대전 , 대전동구 , 여 ,2186,183034,13419063020
2018, 대전 , 대전중구 , 남 ,1482,35407,2720577690
2018, 대전 , 대전중구 , 여 ,3357,128801,9481499180
2018, 울산 , 울산남구 , 남 ,1130,64848,4688873050
2018, 울산 , 울산남구 , 여 ,3129,275170,19922367470
2018, 울산 , 울산동구 , 남 ,313,17690,1217097440
2018, 울산 , 울산동구 , 여 ,950,92765,6400502940
2018, 울산 , 울산중구 , 남 ,607,10938,776573380
2018, 울산 , 울산중구 , 여 ,1598,65498,4650563290
2018, 울산 , 울산북구 , 남 ,262,16506,1207119310
2018, 울산 , 울산북구 , 여 ,838,60219,4346207820
2018, 울산 , 울산울주군 , 남 ,312,32562,2330935290
